Name,ISO A3,CDS,,CRP,,Ke,Kd,wacc,f_wacc_c
Netherlands,NLD,0.000,,0.000,,0.01,0.0700,0.0558125,0.69765625
New Zealand,NZL,0.000,,0.000,,0.01,0.0700,0.0558125,0.69765625
Nicaragua,NIC,0.055,,0.073,,0.09,0.1245,0.1150375,1.43796875
Niger,NER,0.099,,0.134,,0.15,0.1691,0.1635125,2.04390625
Nigeria,NGA,0.074,,0.100,,0.11,0.1443,0.1365625,1.70703125
Norway,NOR,0.000,,0.000,,0.01,0.0700,0.0558125,0.69765625
Oman,OMN,0.025,,0.033,,0.05,0.0948,0.0827625,1.03453125
Pakistan,PAK,0.089,,0.120,,0.13,0.1592,0.1527625,1.90953125
"Palestine, State of",PSE,0.175,,0.236,,0.25,0.2450,0.2460375,3.07546875
Panama,PAN,0.022,,0.029,,0.04,0.0918,0.0794875,0.99359375
Papua New Guinea,PNG,0.055,,0.073,,0.09,0.1245,0.1150375,1.43796875
Paraguay,PRY,0.022,,0.029,,0.04,0.0918,0.0794875,0.99359375
Peru,PER,0.016,,0.021,,0.03,0.0858,0.0729875,0.91234375
Philippines,PHL,0.019,,0.025,,0.04,0.0889,0.0763375,0.95421875
Poland,POL,0.008,,0.011,,0.02,0.0784,0.0649375,0.81171875
Portugal,PRT,0.012,,0.016,,0.03,0.0819,0.0687375,0.85921875
Qatar,QAT,0.005,,0.007,,0.02,0.0749,0.0611375,0.76421875
Réunion,REU,0.011,,0.014,,0.03,0.0807,0.0674375,0.84296875
Romania,ROU,0.022,,0.029,,0.04,0.0918,0.0794875,0.99359375
Russia,RUS,0.030,,0.040,,0.05,0.0998,0.0882125,1.10265625
Rwanda,RWA,0.055,,0.073,,0.09,0.1245,0.1150375,1.43796875
Saint Lucia,LCA,0.060,,0.081,,0.09,0.1301,0.1211625,1.51453125
Saudi Arabia,SAU,0.006,,0.008,,0.02,0.0759,0.0622375,0.77796875
Senegal,SEN,0.045,,0.060,,0.07,0.1146,0.1042875,1.30359375
Serbia,SRB,0.030,,0.040,,0.05,0.0998,0.0882125,1.10265625
Sierra Leone,SLE,0.089,,0.120,,0.13,0.1592,0.1527625,1.90953125
Singapore,SGP,0.000,,0.000,,0.01,0.0700,0.0558125,0.69765625
Slovakia,SVK,0.012,,0.016,,0.03,0.0819,0.0687375,0.85921875
Slovenia,SVN,0.012,,0.016,,0.03,0.0819,0.0687375,0.85921875
Solomon Islands,SLB,0.074,,0.100,,0.11,0.1443,0.1365625,1.70703125
,SOM,0.099,,0.134,,0.15,0.1691,0.1635125,2.04390625
South Africa,ZAF,0.030,,0.040,,0.05,0.0998,0.0882125,1.10265625
,KOR,0.005,,0.007,,0.02,0.0749,0.0611375,0.76421875
Spain,ESP,0.016,,0.021,,0.03,0.0858,0.0729875,0.91234375
Sri Lanka,LKA,0.119,,0.160,,0.17,0.1888,0.1849625,2.31203125
Sudan,SDN,0.175,,0.236,,0.25,0.2450,0.2460375,3.07546875
Suriname,SUR,0.074,,0.100,,0.11,0.1443,0.1365625,1.70703125
Swaziland,SWZ,0.055,,0.073,,0.09,0.1245,0.1150375,1.43796875
Sweden,SWE,0.000,,0.000,,0.01,0.0700,0.0558125,0.69765625
Switzerland,CHE,0.000,,0.000,,0.01,0.0700,0.0558125,0.69765625
Syrian Arab Republic,SYR,0.175,,0.236,,0.25,0.2450,0.2460375,3.07546875
Taiwan (Province of China),TWN,0.006,,0.008,,0.02,0.0759,0.0622375,0.77796875
Tajikistan,TJK,0.064,,0.087,,0.10,0.1344,0.1258125,1.57265625
"Tanzania, United Republic of",TZA,0.045,,0.060,,0.07,0.1146,0.1042875,1.30359375
Thailand,THA,0.016,,0.021,,0.03,0.0858,0.0729875,0.91234375
Tunisia,TUN,0.089,,0.120,,0.13,0.1592,0.1527625,1.90953125
Turkey,TUR,0.045,,0.060,,0.07,0.1146,0.1042875,1.30359375
Turks & Caicos Islands,TCA,0.016,,0.021,,0.03,0.0858,0.0729875,0.91234375
Uganda,UGA,0.064,,0.087,,0.10,0.1344,0.1258125,1.57265625
Ukraine,UKR,0.119,,0.160,,0.17,0.1888,0.1849625,2.31203125
United Arab Emirates,ARE,0.005,,0.007,,0.02,0.0749,0.0611375,0.76421875
United Kingdom,GBR,0.006,,0.008,,0.02,0.0759,0.0622375,0.77796875
United States,USA,0.000,,0.000,,0.01,0.0700,0.0558125,0.69765625
Uruguay,URY,0.016,,0.021,,0.03,0.0858,0.0729875,0.91234375
Uzbekistan,UZB,0.036,,0.048,,0.06,0.1056,0.0945125,1.18140625
Venezuela,VEN,0.175,,0.236,,0.25,0.2450,0.2460375,3.07546875
Vietnam,VNM,0.030,,0.040,,0.05,0.0998,0.0882125,1.10265625
Yemen,YEM,0.119,,0.160,,0.17,0.1888,0.1849625,2.31203125
Zambia,ZMB,0.089,,0.120,,0.13,0.1592,0.1527625,1.90953125
Zimbabwe,ZWE,0.089,,0.120,,0.13,0.1592,0.1527625,1.90953125
